Year,Program,Type,State,Total_institutions,New_institutions,Closed_institutions,Intake,Girls_enrollment,Boys_enrolment,Faculties,Passed,Placement,Enrollment,Placement_Rate_Percentage,Pass_ Rate_Percentage,Student to Faculty Ratio,Girls_Enrollment_Percentage,Boys_Enrollment_Percentage
2013-01-01,Engineering,All,All,3363.0,113.0,9.0,984828.5,216158.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,40.38230530246843,64.96341160404201
2014-01-01,Engineering,All,All,3383.0,51.0,16.0,984828.5,216158.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,40.38230530246843,64.96341160404201
2015-01-01,Engineering,All,All,3400.0,46.0,15.0,984828.5,216158.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,40.38230530246843,64.96341160404201
2016-01-01,Engineering,All,All,3363.0,35.0,40.0,984828.5,216158.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,40.38230530246843,64.96341160404201
2017-01-01,Engineering,All,All,3293.0,30.0,56.0,984828.5,216158.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,40.38230530246843,64.96341160404201
2018-01-01,Engineering,All,All,3224.0,34.0,46.0,984828.5,216158.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,40.38230530246843,64.96341160404201
2019-01-01,Engineering,All,All,3124.0,84.0,26.0,984828.5,212320.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,39.66529604187723,64.96341160404201
2020-01-01,Engineering,All,All,3050.0,80.0,34.0,984828.5,216158.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,40.38230530246843,64.96341160404201
2021-01-01,Engineering,All,All,2979.0,29.0,16.0,984828.5,210749.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,39.3718042366691,64.96341160404201
2013-01-01,Management,All,All,3861.0,97.0,43.0,442922.0,90552.0,146227.0,38737.0,179615.0,95142.0,236779.0,40.181772876817625,75.85765629553296,6.112476443710148,38.24325636986388,61.75674363013612
2014-01-01,Management,All,All,3740.0,19.0,62.0,450866.0,80318.0,154106.0,49757.0,186156.0,103311.0,234424.0,44.07014640139235,79.40995802477562,4.711377293647125,34.26185032249258,65.73814967750742
2015-01-01,Management,All,All,3586.0,45.0,42.0,454917.0,87835.0,160479.0,57477.0,186498.0,104538.0,248314.0,42.099116441279996,75.10571292798633,4.320232440802408,35.37255249401967,64.62744750598033
2016-01-01,Management,All,All,3448.0,23.0,66.0,431608.0,93186.0,157040.0,55434.0,186686.0,101806.0,250226.0,40.685620199339795,74.60695531239759,4.513944510589169,37.24073437612398,62.75926562387602
2017-01-01,Management,All,All,3334.0,39.0,79.0,411826.0,92201.0,142503.0,53888.0,184970.0,106599.0,234704.0,45.41848455927466,78.80990524234781,4.3554038004750595,39.28394914445429,60.71605085554571
2018-01-01,Management,All,All,3233.0,47.0,47.0,393043.0,96267.0,141927.0,53605.0,179635.0,106315.0,238194.0,44.63378590560635,75.41541768474437,4.44350340453316,40.41537570215875,59.58462429784126
2019-01-01,Management,All,All,3084.0,86.0,39.0,372339.0,99943.0,136563.0,43555.0,185627.0,115572.0,236506.0,48.866413537077285,78.48722653970724,5.430053954769831,42.25812452961024,57.74187547038976
2020-01-01,Management,All,All,3036.0,73.0,33.0,371850.0,104414.0,139937.0,43116.0,146549.0,119315.0,244351.0,48.82934794619216,59.974790363043326,5.667292884312088,42.73115313626709,57.26884686373291
2021-01-01,Management,All,All,3084.0,100.0,16.0,385535.0,99401.0,139895.0,44552.0,172729.0,93172.0,239296.0,38.93587857715966,72.18215097619685,5.371161788471898,41.53893086386734,58.46106913613266
2013-01-01,Pharmacy,All,All,1036.0,11.0,3.0,84561.0,24670.0,29271.0,13325.0,35543.0,13893.0,53941.0,25.755918503550173,65.89236387905304,4.048105065666041,45.73515507684322,54.26484492315679
2014-01-01,Pharmacy,All,All,1031.0,4.0,6.0,86454.0,22878.0,29924.0,17763.0,34156.0,13651.0,52802.0,25.853187379265936,64.68694367637589,2.972583460001126,43.32790424605128,56.67209575394872
2015-01-01,Pharmacy,All,All,1023.0,11.0,5.0,88999.0,23173.0,31741.0,21555.0,35179.0,14404.0,54914.0,26.230105255490404,64.06198783552463,2.547622361401067,42.19871071129403,57.80128928870598
2016-01-01,Pharmacy,All,All,1026.0,17.0,10.0,86860.0,25659.0,32968.0,22233.0,37209.0,14853.0,58627.0,25.334743377624648,63.46734439763249,2.6369360859982907,43.76652395653879,56.23347604346121
